PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-0.39213002,-0.22629037,0.14691825,0.06596875,0.18227172,-0.03679221,-0.11712503,-0.06228067,0.0401999,0.00490428
-0.4256936,-0.22498129,0.13707371,0.03156248,0.16298893,0.00945665,-0.11709416,-0.08188438,0.01874167,-0.00792399
-0.46691853,-0.20471711,0.1263666,0.03913316,0.14911568,0.03330392,-0.11591588,-0.10628428,0.01178657,-0.0089246
-0.51035661,-0.19300896,0.11780336,0.03257918,0.12019064,0.03529722,-0.12148856,-0.11983461,0.01130097,-0.00666838
-0.53949523,-0.1302304,0.13216072,0.01940087,0.10366046,0.04493507,-0.12687491,-0.12391527,0.02036042,0.00804585
-0.58575344,-0.08649586,0.14911106,0.01156449,0.10674594,0.05236714,-0.11401722,-0.12928508,0.03168021,0.03118802
-0.61363387,-0.06099353,0.16611451,0.0153078,0.07961519,0.05625483,-0.11106908,-0.12162921,0.06176988,0.03174495
-0.63576239,-0.03106276,0.18762223,0.02499487,0.05142105,0.06571516,-0.11038272,-0.10886249,0.08667769,0.02385463
-0.65400684,0.01450897,0.20927225,0.02596135,0.034886,0.08495086,-0.12637492,-0.09894592,0.10379108,0.01927667
-0.68349236,0.03972326,0.22640483,0.01392108,0.03721535,0.09188195,-0.15611169,-0.11187908,0.10653224,0.01268477
-0.72672039,0.09112612,0.22606651,0.00397344,0.04845897,0.10631669,-0.17379089,-0.08755759,0.11370443,0.01917723
-0.76729339,0.11453741,0.22755422,0.00734581,0.06314878,0.13365959,-0.18104544,-0.07678695,0.09156835,0.03349606
-0.75744504,0.13098541,0.22990119,0.02878492,0.065221,0.13038604,-0.17358355,-0.03212148,0.09540183,0.02803606
-0.7684477,0.11318172,0.20912181,0.02353758,0.05375532,0.13080595,-0.16735901,-0.02081626,0.13699761,0.02281866
-0.77350605,0.09533158,0.18981817,-0.00484689,0.02977565,0.1366363,-0.16242769,7.332e-05,0.15787256,0.01101478
-0.77853644,0.10713947,0.1951146,-0.02157571,0.01381661,0.13446571,-0.15854065,0.02348629,0.16476306,0.00403313
-0.77883053,0.10391685,0.17976302,-0.0334151,0.00442671,0.12739497,-0.1530443,0.04270914,0.16083488,-0.00258634
-0.77055997,0.0985198,0.16936864,-0.05557841,-0.03993721,0.11695125,-0.16060328,0.05769723,0.15312389,-0.0019689
-0.77446449,0.12423296,0.15983392,-0.07663634,-0.06398711,0.11400317,-0.17112435,0.0686021,0.15139571,0.0029123
-0.78657258,0.14133295,0.14631598,-0.09728401,-0.07909705,0.11240882,-0.17010428,0.07031294,0.14774586,0.01323071
-0.76699728,0.12846786,0.13396285,-0.12108906,-0.09540279,0.10765354,-0.16672412,0.06669813,0.14021339,0.02854028
-0.73948866,0.1335628,0.12135689,-0.13142511,-0.12188717,0.09717289,-0.1427044,0.07566739,0.13990565,0.03033245
-0.69185257,0.12425163,0.11281455,-0.13623255,-0.14935295,0.07422299,-0.13419293,0.07443226,0.12458669,0.04533373
-0.63522279,0.11663269,0.08970559,-0.12602563,-0.18152611,0.07619376,-0.12664357,0.08909724,0.11796293,0.05273668
-0.56986666,0.09919301,0.06967384,-0.1052057,-0.19605292,0.08969377,-0.12756428,0.08437482,0.10143606,0.0524724
-0.52203596,0.10365702,0.04326791,-0.0708375,-0.18293099,0.10148928,-0.10838266,0.08119678,0.05807598,0.0834362
-0.47121316,0.10043643,0.00674451,-0.04701065,-0.17413478,0.11378837,-0.09893032,0.07433417,0.06119167,0.11122951
-0.39688504,0.08527983,-0.02550569,-0.03197193,-0.16722213,0.12962066,-0.09207238,0.06509073,0.0670168,0.11772018
-0.31169024,0.08011228,-0.0648078,-0.01688764,-0.17119539,0.13071711,-0.06467666,0.06902786,0.06969587,0.12481105
-0.2196483,0.09486261,-0.08377597,-0.01298067,-0.15444443,0.13350274,-0.02601929,0.07362797,0.0665085,0.10999487
-0.13866851,0.09868129,-0.10037941,-0.03456024,-0.13591331,0.11853773,0.01168193,0.05904083,0.05353862,0.09713955
-0.03015822,0.10556723,-0.1060257,-0.04231318,-0.11511345,0.08699648,0.03410546,0.0341839,0.02907944,0.10117444
0.06079255,0.1220631,-0.11267728,-0.03436463,-0.10886586,0.06428852,0.05510741,0.02942271,0.03238657,0.09961619
0.1359694,0.12242727,-0.13017093,-0.04375967,-0.11104579,0.05578787,0.05734709,0.00273923,0.03225023,0.09137944
0.22183017,0.11664756,-0.13345137,-0.0535742,-0.10910126,0.05903405,0.07435451,-0.0237142,0.03645768,0.06322588
0.32328513,0.13250084,-0.1203184,-0.09148084,-0.08300926,0.0315611,0.07268594,-0.02771005,0.04692072,0.05170469
0.46157378,0.15700114,-0.09796518,-0.12029939,-0.05551843,-0.00716273,0.06661365,-0.03304787,0.04381523,0.03783246
0.56698191,0.17743874,-0.05293943,-0.15189786,-0.02969297,-0.02698592,0.05026956,-0.04100564,0.06651844,0.01682866
0.63214016,0.16886297,0.0037913,-0.17175502,0.01343179,-0.03168083,0.05328896,-0.04035141,0.04289878,0.01546922
0.6495986,0.15496518,0.03062169,-0.18637022,0.04184997,-0.04145315,0.05008867,-0.03015302,0.0371763,0.02588416
0.65542805,0.15807703,0.07180224,-0.21051784,0.08572891,-0.05741914,0.03666579,-0.05005967,0.00422313,0.0359046
0.65858322,0.15015616,0.07141869,-0.20393541,0.11614253,-0.05286438,0.02556045,-0.05956547,-0.01019933,0.07218146
0.66872251,0.11416676,0.06454361,-0.19962712,0.15389083,-0.03481187,0.01749722,-0.04239619,-0.01358115,0.10041003
0.65237302,0.08217243,0.0439629,-0.1958712,0.17672394,0.00118865,0.00820533,0.00146751,-0.00732757,0.10673353
0.63306922,0.04303119,0.02289557,-0.19743893,0.20524164,0.01478757,-0.00775751,0.02791201,-0.02334169,0.10021701
0.61708438,0.01619605,0.0163926,-0.18337086,0.23712867,0.02308834,-0.01234517,0.05644786,-0.04038442,0.10758995
0.59195071,-0.00909596,0.01401609,-0.17815499,0.26341063,0.0239946,-0.02938337,0.06394785,-0.03650109,0.11829043
0.56620437,-0.04920794,0.00099207,-0.15750453,0.26263744,0.03860242,-0.03146534,0.05317811,-0.0301474,0.11899259
0.5323025,-0.08086047,-0.02880696,-0.12525401,0.26582646,0.06269526,-0.03964053,0.04265634,-0.02190568,0.10453553
0.51016665,-0.12189957,-0.05379589,-0.11548314,0.26105905,0.07176628,-0.03896662,0.04133106,-0.03569884,0.09734705
0.46485683,-0.13139357,-0.06730076,-0.11617167,0.27651122,0.06524888,-0.05787412,0.02880796,-0.02183674,0.09443106
0.44038716,-0.13240185,-0.07709037,-0.1158769,0.29598013,0.06474558,-0.04590149,0.00840788,-0.01251692,0.10826258
0.4168292,-0.16253996,-0.0883234,-0.10839081,0.27622169,0.0655309,-0.04152387,0.01965829,0.02643045,0.11635755
0.38716581,-0.17661346,-0.09611923,-0.10923697,0.26580378,0.06870763,-0.03277056,0.02565874,0.03625455,0.1190504
0.34961718,-0.1708328,-0.10633885,-0.09512452,0.24586411,0.07322506,-0.02218161,-0.00301727,0.03454297,0.1016828
0.30468839,-0.19092312,-0.10108148,-0.09767655,0.24196535,0.0622397,0.00378011,-0.03455392,0.04592893,0.10453004
